,0
0,5.779575896866309
1,5.824879395672296
2,5.049321714070506
3,7.110677634423642
4,5.038924487682051
5,5.2776866716007955
6,6.1941604362181675
7,5.861299755540566
8,6.1785796198352125
9,6.127990059310768
10,5.482982928647954
11,6.256342945731874
12,5.234858575790243
13,6.173034159949333
14,5.021280766033982
15,6.587815688785222
16,4.9508171125821185
17,5.836319182995696
18,5.566902927676823
19,4.995249544305132
20,5.096374862742411
21,5.580289115082608
22,5.5201372551392724
23,6.483261194306577
24,5.828726203387392
25,4.819170398726121
26,5.331137811650455
27,5.7714840648804815
28,5.787102604814282
29,6.043008673769551
30,5.840751521851013
31,5.447363095928473
32,6.438041305902602
33,6.563774953338531
34,5.377566850964523
35,7.422921354304202
36,5.632670440676422
37,6.804448307325065
38,5.8562157408870155
39,4.257533836535085
40,5.5638999522284385
41,5.717255991001644
42,5.843834188748564
43,5.525753349635383
44,5.929736704245114
45,6.316764767374422
46,5.773802210969057
47,5.364423366588905
48,4.481652183986857
49,5.382470399748796
50,5.227653804953023
51,6.534676946237189
52,6.160407711866783
53,5.518371476842249
54,5.581479713985922
55,5.938726568563854
56,5.91652105383003
57,5.766709394928975
58,6.124809955141211
59,6.067958758250538
60,4.601662477584677
61,5.188528376803011
62,4.71536457649342
63,5.398450878855926
64,5.973212520157258
65,5.5448718763962885
66,6.316031877706824
67,5.2318359777828904
68,5.688581144469791
69,5.441592185238045
70,5.402583841924011
71,5.703537859357512
72,5.493840848865631
73,5.984390864788991
74,5.378894145462738
75,5.23329851754015
76,5.084369137811192
77,5.64401137233657
78,6.248153935264695
79,5.744390618924409
80,5.764138242890462
81,5.044975938351727
82,5.634771345352017
83,5.8919471727939925
84,5.281327016530353
85,5.930974861048691
86,6.261991841488657
87,6.360544378282478
88,6.434238525618128
89,6.240236607216565
90,5.669127897520034
91,5.439066599926976
92,4.81311391408696
93,5.913604396768177
94,5.559677194331209
95,5.953048206321724
96,5.579690199517415
97,5.930337803467963
98,5.947502357642804
99,4.975414898343384
100,5.238951231085872
101,4.16518927135177
102,5.408579518057878
103,4.504969015911364
104,5.3822133447613165
105,5.599171819884082
106,4.577355546076096
107,5.550565718568246
108,5.750666505585352
109,5.224262915032381
110,5.334793357304312
111,6.239734338643224
112,6.090509852263669
113,5.074762181035564
114,5.994425103760071
115,4.837842143044007
116,6.195459493960278
117,7.042571491573119
118,6.188052151672083
119,5.421462834037578
120,5.511834381742671
121,5.823706892456014
122,5.657081364070989
123,4.860556515829945
124,5.6267003320823585
125,5.772529824200484
126,6.428940980335114
127,5.526012918405092
128,4.578308321948886
129,6.83650031056434
130,5.876318918867112
131,5.224995525751608
132,5.190793702581438
133,5.460163737353061
134,5.69584597597188
135,6.544740933252765
136,6.7484083104425805
137,6.149250899045895
138,5.886556200752022
139,6.031140677140722
140,5.9213762864622534
141,5.7797770226528495
142,5.872437164211838
143,5.5566872524758075
144,5.749745166742122
145,5.851562461261315
146,6.493136558730004
147,5.667506508477382
148,4.764419099115607
149,5.887621356030584
150,6.095985804798051
151,7.033045907563241
152,4.475662154902385
153,5.683980672512365
154,4.345754599423833
155,5.3529597316633195
156,6.0582784088894535
157,6.074708664032535
158,6.05330800413801
159,6.170477167179672
160,3.776829613982793
161,5.288955629276324
162,4.581152993780416
163,6.731285038936677
164,5.7711827375347715
165,5.673108464083001
166,6.0367405644923124
167,5.524941865265448
168,5.7847312956215395
169,6.610191098684113
170,5.212668960929472
171,4.396671004992401
172,6.949960432672242
173,6.338709546245208
174,5.548285564517275
175,5.757776056105165
176,5.558427221750795
177,5.881338754591593
178,4.934555981008969
179,5.931643304713193
180,2.7084701888897467
181,5.903587517635814
182,5.097281683597441
183,5.637991685243936
184,5.703655370352192
185,5.541395347664339
186,6.064338930026781
187,5.966949578996542
188,5.874395592914069
189,5.556128757572346
190,6.206762897333015
191,5.421774705567219
192,5.342919742714696
193,4.710258607291465
194,5.427229639918826
195,5.034067527009014
196,5.173651582234668
197,5.010184502031005
198,5.1776697355546615
199,6.506300053465276
200,4.902268217233797
201,3.9525384509916726
202,5.3106813329764835
203,5.556201828832656
204,4.587525964298039
205,3.054220812923425
206,4.957225256537391
207,5.89952219239429
208,5.106649291964808
209,6.065016175748039
210,5.224661856231398
211,5.929994786580592
212,6.402524483440826
213,5.526923976973575
214,5.666867127801727
215,5.957270041123323
216,4.955313133851233
217,5.30310358964097
218,6.4128214519558036
219,6.148429226990639
220,5.78698014409728
221,5.185676965239176
222,5.5533118989765144
223,5.062922181786512
224,6.6943006569655426
225,5.264451159503942
226,5.365820399695987
227,4.308022742374587
228,4.717983596600102
229,5.959993051643846
230,5.483526383281473
231,5.633150794931516
232,6.278264214043954
233,4.776762908782212
234,5.631245431434509
235,4.963991268522352
236,5.596195523659375
237,5.392798923700807
238,5.862568433727132
239,6.0411528954212255
240,5.491053808925721
241,6.642097177643092
242,5.432937609878148
243,5.853853397897387
244,5.686004605181179
245,5.0101391816396665
246,5.694432060680793
247,4.649710388164098
248,6.256151581682519
249,6.059301176820339
250,5.786944441555663
251,6.942238369754578
252,5.865094810000892
253,5.245746919859358
254,4.407396089583591
255,6.698908616707837
256,6.332906019524215
257,5.86350252926128
258,5.8967629874441645
259,6.751033656917686
260,7.067629654827094
261,5.047699726097395
262,5.932289167802957
263,6.3596078261583875
264,5.924865880797951
265,5.125887718207909
266,6.348002858058609
267,4.965343671913658
268,4.531988639427415
269,6.849882620217439
270,5.41397810967647
271,6.158825845509809
272,5.1664002643958336
273,6.478382664594125
274,4.7083602162046985
275,5.801898377018074
276,5.1269061005882755
277,6.056346945417522
278,5.244914522440202
279,5.9759853547349495
280,5.633950149066797
281,5.675475668821887
282,6.410923542375946
283,5.792050915299278
284,5.4183735790922345
285,6.185916103402658
286,6.032416445719979
287,5.443815397524059
288,4.416703938397655
289,5.31035623478458
290,6.276375135876978
291,6.127046712538684
292,4.89347233496334
293,6.032761253470076
294,6.603850968709301
295,6.270008405233743
296,5.19775194303337
297,6.157253020993782
298,5.303566589311183
299,6.986942213288725
300,5.802385305267302
301,4.694046005674516
302,5.71106865638125
303,5.738312737179337
304,5.069183679060057
305,5.267668482239094
306,5.56635539005584
307,5.840239674664113
308,6.281859246439468
309,4.7036255259932185
310,5.785924374919824
311,6.431361748595375
312,5.607940917928377
313,6.219119736482386
314,5.943411631252903
315,4.484921820917069
316,6.432824229847312
317,5.79381225447994
318,5.33932443645192
319,6.293200255546197
320,5.3975856229146055
321,5.92292565710764
322,5.680918010198373
323,7.134295481886777
324,5.117098168078026
325,4.817785828257024
326,5.012574063761557
327,5.401085109311454
328,4.916611384515612
329,6.8233150399010105
330,5.369681781769282
331,6.924088736718198
332,5.364025696153686
333,5.435244706684338
334,5.817782792023098
335,5.324874408995225
336,6.298896759576295
337,5.867935688014396
338,6.193868044067299
339,6.028569790994217
340,7.035068500166142
341,5.323494059034987
342,6.115156322378623
343,5.650600348203692
344,5.78446926638193
345,5.395114212162218
346,5.8741869372874325
347,6.746077333424578
348,5.593029391082714
349,6.077785248594687
350,6.901085093145103
351,5.439119747118012
352,5.331278634348742
353,5.433999227408152
354,6.919781524973144
355,5.458783807992327
356,7.147368673993925
357,5.383290540001295
358,6.543206617855787
359,5.774273720208345
360,5.5663650208867095
361,5.752861382499191
362,4.922043570723517
363,6.094584561451454
364,5.523541064859024
365,7.232397209546947
366,6.8549843768575975
367,5.409363528767648
368,6.212584384761968
369,5.274556172031641
370,5.97282812854534
371,6.808093250379135
372,5.76089726610892
373,5.4763339814171905
374,6.132894798722836
375,5.298341248703811
376,6.284229892434437
377,5.493800159715011
378,6.104778462954305
379,4.730530718667005
380,5.880912106082529
381,5.199998155765745
382,6.1869191909616434
383,6.615318685789566
384,4.974557106509674
385,6.251612817808307
386,5.154715612329933
387,6.756654609427544
388,5.722960373252892
389,5.740878985407582
390,5.510107303569611
391,6.095651954406021
392,5.59292545302157
393,6.211053628794834
394,5.963740551257427
395,5.697175734265179
396,5.8781057316628305
397,5.46796744027678
398,4.785330597993283
399,5.83213472742136
400,4.6761499289888935
401,5.776002874817539
402,5.980716869898869
403,5.469273248294546
404,3.1701194113945235
405,5.295988188491413
406,5.400941614360041
407,5.972782231787054
408,5.5011738604902565
409,4.931002324363533
410,5.580275330592581
411,5.685841870051909
412,5.676765754930523
413,6.38208204539957
414,6.216455010046963
415,6.3275484219249645
416,5.372066767376116
417,4.33194230315246
418,5.887382271745028
419,6.043741345110472
420,5.487238325475359
421,5.547852031743118
422,5.726251032271304
423,5.205034834893228
424,4.777560807611856
425,5.444532225195976
426,7.685973423254499
427,6.497960905937605
428,5.352370328941864
429,5.2414676599340515
430,5.456968006960648
431,5.860391293770813
432,5.459929749829707
433,6.280845832105373
434,5.461932551297241
435,6.050329570102014
436,5.455435628779231
437,6.5686552123358615
438,5.739505523461331
439,6.3971828709728795
440,5.606786458523403
441,5.103816855084536
442,5.735861419077372
443,5.689537061705636
444,3.2616334888628176
445,4.491101386639171
446,5.638672579309305
447,5.223798833567238
448,5.863580530192092
449,6.128988775104041
450,4.8827988327064915
451,5.199560611738721
452,5.370607612939451
453,4.44580140411444
454,5.387763844556138
455,5.3668514496451065
456,6.483288896788123
457,5.491084013737891
458,5.583204215696299
459,5.233814573021537
460,4.8166431717916405
461,6.456913996959083
462,4.767793534969298
463,6.354581822966628
464,4.9078325689777715
465,5.358121612205606
466,5.636822773276243
467,5.991799351688479
468,6.35086556125191
469,5.487356293599102
470,5.314691770971721
471,7.098857632343365
472,5.746852194478392
473,6.058383507179878
474,5.270170353053691
475,5.664750269580922
476,7.426190016188883
477,5.365818162194946
478,5.332627686106169
479,5.235385716582908
480,5.806782161745242
481,5.515043539807945
482,4.630859163238664
483,6.260280871816184
484,4.88777683253767
485,5.246216724227601
486,5.878337410517872
