,Unnamed: 0,user_id,business_id,stars,postal_code
0,0,P3-22Ip9aNXY0wMP4IDWuQ,hBKkJeRmqceqgIWb3Pv1eg,2,61822
1,0,QzRBCdNGmiOZknWZIrAaiA,ZiJVt1CsKoXyqSOZW8V4-A,5,61801
2,7,LPET4baJR5uXNnOTNzBlOQ,ZyOgY-z9sHdHp8_FDoQAJg,5,61820
3,0,-6rOZ_QxQw4gFj3UdRkVGQ,EGaNNRcQLxtEauvfQP91kg,5,61820
4,13,Rmn7i49T6Jvn4LoQw4r4jg,CcDdWX48wSLD5L9hGi7A8g,4,61820
5,0,7UUu8Y5wSOBuhHCa-70SJg,vCopginiBsz1STNhQPb8XA,1,61801
6,6,Jdp4RLhOla7cDX2sFfPCiA,Hbr3byTorUS-k948IWpYKg,5,61820
7,2,5ytXIXCllyLSLLrkvxCzlQ,jKxES7iLV63H_PfyGVGIDw,5,61820
8,1,UCrd7MCtwW5pVt99wnxGtA,pMiz7SP82Tknv1NbVqoSfg,4,61820
9,7,DW4m6OeTZRCI3b5NQdiXKA,dn9lwYUxmhs_mLKPu7L25Q,2,61820
10,6,SsW48-bgdICAdXeez4JnQA,ODURDhURWmZr6b--O4nt3w,4,61820
11,0,qLz756h59VvRBGoxIuIePA,lEfDbMH4ON41L2ByGALx9g,1,61820
12,0,eX1gouvoMi3eIqa-UjU48A,ZyOgY-z9sHdHp8_FDoQAJg,4,61820
13,7,rdXAuI2fKilcf65W-QoASQ,kNtToQSP_Y5U8tznLXuCaw,4,61820
14,6,nz3-ACP4Gi1vn6sV9ql3pA,6ockUmdOBYBApEsUCJkBzA,5,61802
15,6,cu25ckKDXRRlyua1TW4bUA,VIJ2KiDKhUVhhpNylEIfog,4,61820
16,2,B2cAVkDQJ3GgLbYyMihaeg,5_cn7M-9swHrFbnqZtYGBQ,5,61820
17,2,d4XoQ9Wb8Csw0oD5dDEZ0g,SuQpsHxcxCAB8kxPEIXiBg,3,61820
18,3,LnvhJNbgZJMIOKiyGfbFfg,dn9lwYUxmhs_mLKPu7L25Q,2,61820
19,8,UMhbtF5l57dKySHAGNMxJQ,kNtToQSP_Y5U8tznLXuCaw,4,61820
20,1,7FiwV8bKMUDdHg0lWjcpBg,dNch89PUCbxvhieKmWi8LQ,5,61820
21,4,F_uSIZAzuKu4dEVMjRR8Eg,m6nLTIrEJHtHSYJjVavnzw,5,61820
22,8,6X0i-oGUbh5DZdTHzFuKfg,s1Xweo1ouikP7EkuEv8sOw,1,61802
23,0,uMvkKY2iLV4qrBIGveQG0g,r_QcMIgY2zxdcV40kK_rxw,4,61822
24,19,OM2ITDTKN5YHyELg7y1KeA,JmYYGu_FIdYVvNXRsucAvQ,2,61821
25,12,Puf3PbjjRQBgQaE48BUzqA,dEKnEqm6Q44copoadiT8Iw,1,61801
26,1,aysK-RUYApxGadme_F8icw,5_cn7M-9swHrFbnqZtYGBQ,5,61820
27,1,Dk2IkchUjADbrC05sdsAVQ,wDgPYWuBzBTZkeV6FgyEeg,5,61820
28,0,z1A6cFWd0nv69Rkq4IVjdA,VHsNB3pdGVcRgs6C3jt6Zg,5,61820
29,13,ww61rSSpRlQSBlBI0vqGLg,w5Y_FiGPSlPemJVxAZZToQ,3,61803
30,17,sI1AEPejbOupnZRDNlcvaQ,RnGG5bAz4nTPo_Ui99Kzbg,4,61820
31,3,QYxTFG_ug1IBPTSu1NkfoQ,5jXwI9WpDxGDmzmkmE0RTg,5,61822
32,21,Rg3C1gCJsyshSpp-35HLbQ,U6xqyLII8WqNRbhEx3FXHQ,3,61802
33,0,GZBeQNKx48EvMSShg9Wf6g,IJ_1Hcuh89ETzDFK6pXOpg,4,61821
34,1,4aSZ8vwLs0pliAqjxS_xkg,yJlqyI_w9bQ3I2nCJNYLQQ,5,61802
35,0,kJPF6GU8IhM_kLQUXomNzg,u8C8pRvaHXg3PgDrsUHJHQ,5,61820
36,86,pFRE2mNCQvx9DUU542c6Dw,JmYYGu_FIdYVvNXRsucAvQ,5,61821
37,2,pSUp9rQHnNHzzYHMMd_mVQ,RTmIbq33chUSa-etGiF8Lg,5,61820
38,21,4_sCBkSvKtx06IM68aawHQ,-fiUXzkxRfbHY9TKWwuptw,5,61820
39,4,g9Lj14stxHHeZ_XvTVOqXg,-fiUXzkxRfbHY9TKWwuptw,4,61820
40,1,VoJpyO0CzARYWyKUnJpDzg,KfGaDOcxPwvD-nlYtjVIpQ,5,61802
41,32,EyijGEmk9MP-ufMOG-mlmw,Y95S0zb-n9_bl7EoyglT7A,4,61822
42,5,TveQ3BnTo_hVyYjKtlWLjA,mofOjB6flg-eAWOFbOkHfQ,1,61822
43,0,1N8JyCexSyR8D_mxTYiWDw,-fiUXzkxRfbHY9TKWwuptw,5,61820
44,11,l8hjAK51iqbZG4b9X2jJCg,VIJ2KiDKhUVhhpNylEIfog,5,61820
45,5,q_hefVvibpiaHjj4taTCYQ,6vVkSaymw-4MOTPh68HN3Q,4,61820
46,2,Cq-uscnPqPG6pld_XZcHVg,-fiUXzkxRfbHY9TKWwuptw,5,61820
47,3,o-t-i7nbT5N_cmkCXs5oDQ,hvPPw19VdGRsOEkxgyD7tg,3,61821
48,4,orf-rH5zOeQNNnkLKFDcWQ,PGUuVJEzM0H-ZMB6m1D6Ig,5,61820
