user_id,business_id,stars
YQUbI0uQYuIa42wfofR-gA,mklo4H47YWK7f18YXTCEoA,3
BJz2fV3HS3xsHF7rwPhnRg,RnGG5bAz4nTPo_Ui99Kzbg,4
YsXp_Jmd5TleOjmxLx7S6w,UUsS7SrTQQ2AvvpslfrvFA,2
buxwuHlBkgsQGCnfhxfSQA,WyuXAT4QZFqI1eOpwLgtjg,5
qdOTwzUkIQ3tcBbFTKz_1g,6o6XxnI8RWhnAVSdxqCJWQ,5
TFZgDoMk1zZFhioAVm2i_Q,u_MdwAj7eGenc0YhqQy6nA,3
jHnkKFt-_hkFQWeiAnVs7w,-i3dOjumvOw-52aGXU1xDg,2
hAOPSgq9jZ-DiDlOXIpm9g,X57f6FWZiwI1wOidPPhOrQ,2
mk92jYRijAT-IKDY2-TS2w,ovApUucCKSb9k0lTP2JieQ,2
St7phU2fGXvs2fJFsBMCHw,uf8WNaHKKssMUbQVg8nJ7g,2
nj6HVQrgFVyY9VoDeuAotg,zp3rZNu-5qonTL3ByPYOUg,3
Yw_3b4FvSCWQD8Ta5fL5Uw,uvVOuCbo4_5z_J5WJVG4QQ,4
pFRE2mNCQvx9DUU542c6Dw,5_cn7M-9swHrFbnqZtYGBQ,4
fScUxcWE01fw0ZmxbywdXA,OBRf8DQVw61CDrZvwXLGlQ,2
SY2VCEdVlTa2XB8wl_SKoQ,8mKV3KThn3wXGL3OVxrCNg,5
jOysrKVZvJDSZgYU-D72ww,ffacanjbTeV8qP0puOW4xQ,5
Zr3FE_xGkg_RgocTSoVAag,F1qPjasn0R6-j8sa6iYNmA,2
1Kg8x3cy5yysTooqlb6oxA,yEe7d09rpD2u3WLNAKcdQw,5
hT2Mw5m_SXBDVBuvA3KY-w,9MnbQg7kfb_WgxoV0hXKSQ,2
P1Vcd0rAbADbBZ1FbdCksg,qeJnMI5RmyJ2TZvkqvjn6Q,4
K1kYbthl9sRq5Yo3NAI4mw,ZePevVVz912OfLNUeB8SGQ,5
PGsrhKu41CWhs152bctWkQ,EoPd4SI9-mnkyb2CJcgkLA,4
D7ypVwmT8535TsPslvVUQw,ATEOnDYQCYSwCCH6hxenlQ,3
N_7_1iyZAMQfVRSRW1d65Q,JCnFvoh7lU8PF_Yhh8bgOw,2
O0BOnYXyP0zGzVqDqIk5TA,4hWDMVtfnpyY72_5QMbthA,5
O4JiGWuxDmvPQ8D2YBuMuA,OB9fA3C-7ppMH5mZFw71AQ,2
PxuB8lY9b9Lr64IJ7CsC_w,BU44MZzM82yPiBhMyj9r7w,1
lI4mtCWvnIn1lE5Nzd0lCw,SCxtzXcvyk1hygdmOZqd1A,4
tnmjBcPDpCwpiJqOQkuTvQ,hP2DOm7E2H4P7MOS7XN_SQ,2
sz0FdhdPhHVQaqBoECyMSA,i1YpfdZTpLj8TrKm9HlCig,3
yG4yO8Nrt_AMScp_SzFT3A,bsrqpg0zJZG4NMhA0W28LQ,4
fs8zup-cUxKYwH1q6nlNxg,OKHHpjAhYyJrxulgCgngFg,5
Tt0zZU741QfQLCAj7jHOSA,Y1FmaM4sR6mII_06op7jnw,4
eFWxF22wnOcyH2yFRIcjYA,wxNa7hyCwzoGis0kqvKTkA,1
XvbU631-FQ4GTS2zMa-YvQ,Y-rCSbMqXWk54bKRAIoyUQ,5
XoJTJ__-uTZfGdEcCESW6g,dIZcPB3CtNjMn4O_p8QFxw,4
M9fWDfn3YZEOV_ukWrpRjg,kOyeZ4bBcA0_l1KPmlDDjQ,1
tPll92NbKFHxUBut3LEA6A,5bfPGu1YTNyb2w9QriysfQ,5
6za1BnI63StjzQj_yaoQBA,r8h3_Chc7davvVelcvV-NQ,5
YJ6ISA8TvlJOrdJENFN5Tg,THC1S01liu8wIeg2ienLiw,3
KjwHNXkz1MY4F1D0l-Jl5g,BRcuGsWmju1KAC9zz7nicA,1
Yyum4ThqpEE9KVoXooYTFQ,oYMsq2Xvzw6UbrIlMWjb-A,2
AJqhpV0GwQ5yVUO4-eruwA,zrtRx2bm55zVeYIpzLLm3w,4
hkzEgZTie1WoCC4ltoeYlA,-i3dOjumvOw-52aGXU1xDg,3
EcjTzrgfTPfyVxbpyRiYQg,jKxES7iLV63H_PfyGVGIDw,5
814qcedLxQjLmr5gD3gHkw,8TnEzVYiQrBH7FDKya3RZQ,5
n1SFK5aOV0ODRqqGpwDAcg,5_cn7M-9swHrFbnqZtYGBQ,4
_fGZT8LSzjDglc-u3FL3Cw,VIJ2KiDKhUVhhpNylEIfog,5
Y1Vc-EWXbU1f2-Dq14E3YA,dKncjeWnvdqYiNC8l26fog,4
QSc7y-sB46elcKlf1MTa7A,0FrYsoVHheQGoXEQsH2d2Q,5
S4qmJTSmXiqRj7ILiiAXow,Dkhg2ClBOP0efXaoL8yNNg,5
EM8WbmSeCFErbSpz1-h7hg,_a6jhRFIgOe74U73T5B-Ww,1
MFoDRss_gXO4J9nNxkxtFw,0ptR21GHRuQ1MFtxGNcxzw,4
Jl2UkzX4G12wsft3vKQ2AQ,UmZdQID7QJoyg2R92mK3HA,4
qXWvvpXvu_Qk5zw2TpG4Mw,vt2NMSbKpVN0r0HI6Az4bw,5
yrSxANoK5CmndoNmkEVnOw,S_9OaE_RBWBIXnUKvxJKsQ,3
wTNIFJ3NXSvLoPlKPaWVow,5jXwI9WpDxGDmzmkmE0RTg,2
8f9m9EdA6M5Jr-sqdPrc5A,u8C8pRvaHXg3PgDrsUHJHQ,5
XqKvXaXxUr08JZYyI7o5JQ,-fiUXzkxRfbHY9TKWwuptw,5
ahLG7ydqafwiJlNDmUwVcg,m4DwPVxmFDQE_FnGIOa3cQ,3
qUPaAgZ91kq-CjnyaXP4Zg,mvhokWwVKgfE-koLlc4VEw,1
3f7mS-Zgp88MHXLXZvO-zQ,ly0oNXKOoSZyr0mzOsVJhg,1
BaofDrcVLF5D_Btp1_mPfA,B2N_XO6fX0ILL9c50QuzHg,4
ypnn6O0fFRDlHrMYOEUDBw,kyXEnWKQGWSThY6EcjORuw,4
Z4FB_Lo8HzKGYxeDPFhUwA,LElQBiDw8HyU_LrbjP8C1A,4
qntQp9UoeP6ju8D_W0Y0cw,Xi15Buj936IsyQN8X-9zEw,4
hFEw9AMLE8y6oyYJEupZIw,BKLWat64KRYzsT2DgY6Xxg,5
f0Xje_BqihQMnBA6Eznz5g,DjDcRTH09r1Yma6qd0om0Q,5
Hfade-LERQLS2eXDx4g4cw,RWd83o4drIOE60W1meaESA,4
fwSsSQXLvip6MkayAa_vyQ,u8C8pRvaHXg3PgDrsUHJHQ,5
VC6oNH-jTXIMd8HLib7_2g,exB3ClkOkURgNJPazPtEHw,4
CkLA_6BMLVcicacxXZW9Fw,RQxLNvAra_MUUPHdhukilA,1
ONPHnqSMsJ_pXWMr-vnaog,NZ3A0xYdnmIG68mZeZV6AA,2
Xb6LEOnMHn_wNv_lPl1jUw,gnqHyA6gY2-m9S-FKt6Xqw,5
K9FGNE25XGwsL5eUa2iJfw,B2N_XO6fX0ILL9c50QuzHg,1
1N8JyCexSyR8D_mxTYiWDw,-fiUXzkxRfbHY9TKWwuptw,5
RljWUuhdeINDfg8SgHQGDA,kLojwXxsSWHtL_AxeBie1A,1
tq0mDXQeeAYnlYHiBEttbQ,yLKoESPQ8BN7dn6ADzZicQ,4
mpHBEhkoTdfX1G96Wfhmtg,8mKV3KThn3wXGL3OVxrCNg,5
WH71DZ0-VHvwGUu1j_SONw,iO86eCaZJBHqi1sZ1ELk6A,5
QERwKMB11_FXGIfMzM1vyQ,NpNSOfnPxJKa8_qh83NArw,1
WcTG3npaVoeAMDX9NMDMGw,ZiJVt1CsKoXyqSOZW8V4-A,5
